Capacity,Churners_Captured,Total_Churners,Recall@K,Precision@K
200,167,407,0.4103194103194103,0.835
300,220,407,0.5405405405405406,0.7333333333333333
500,279,407,0.6855036855036855,0.558
700,319,407,0.7837837837837838,0.45571428571428574
1000,356,407,0.8746928746928747,0.356
